,symbol,price,market cap,exchange,currency,sector,industry,company_url
2501,HSCC,0.0071,0.0071,Other OTC,USD,Consumer Cyclical,Internet Retail,https://www.homelandsecuritycorp.com
2502,HMST,18.26,17.60,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.homestreet.com
2503,HTBI,23.76,23.63,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.htb.com
2504,FIXX,1.0100,1.0000,NasdaqGS,USD,Healthcare,Biotechnology,https://www.homologymedicines.com
2505,HONT,116.50,116.50,Other OTC,USD,Financial Services,Banks—Regional,https://www.hnbbank.bank
2506,HON,190.46,189.43,NasdaqGS,USD,Industrials,Conglomerates,https://www.honeywell.com
2507,HOFT,18.33,18.31,NasdaqGS,USD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",https://www.hookerfurniture.com
2508,HOOK,0.7258,0.7072,NasdaqGS,USD,Healthcare,Biotechnology,https://www.hookipapharma.com
2509,HOPE,9.65,9.49,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.bankofhope.com
2510,HMN,33.32,32.80,NYSE,USD,Financial Services,Insurance—Property & Casualty,https://www.horacemann.com
2511,HBNC,10.82,10.56,NasdaqGS,USD,Financial Services,Banks—Regional,https://www.horizonbank.com
2512,HGPI,2.1400,2.1400,Other OTC,USD,Real Estate,Real Estate—Diversified,https://www.horizongroup.com
